src2|multi_level_calls|11|PASS||11|11|2|2|0|2|3|0|0|0|32|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_multi_level_calls.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_multi_level_calls.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_multi_level_calls.result.txt
src|nonleaf_s_registers|9|PASS||9|9|5|10|0|1|2|0|0|0|32|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_nonleaf_s_registers.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_nonleaf_s_registers.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_nonleaf_s_registers.result.txt
src2|nonleaf_s_registers|9|PASS||9|9|2|2|0|1|2|0|0|0|20|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_nonleaf_s_registers.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_nonleaf_s_registers.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_nonleaf_s_registers.result.txt
src|recursive_call|15|PASS||15|15|6|16|0|2|2|0|0|0|50|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_recursive_call.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_recursive_call.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_recursive_call.result.txt
src2|recursive_call|15|PASS||15|15|3|3|0|2|2|0|0|0|35|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_recursive_call.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_recursive_call.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_recursive_call.result.txt
src|recursive_fibonacci|55|PASS||55|55|6|17|0|3|2|0|0|0|54|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_recursive_fibonacci.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_recursive_fibonacci.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_recursive_fibonacci.result.txt
src2|recursive_fibonacci|55|PASS||55|55|4|4|0|3|2|0|0|0|41|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_recursive_fibonacci.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_recursive_fibonacci.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_recursive_fibonacci.result.txt
src|register_pressure_runtime|142|PASS||142|142|6|15|0|2|2|0|0|0|44|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_register_pressure_runtime.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_register_pressure_runtime.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_register_pressure_runtime.result.txt
src2|register_pressure_runtime|142|PASS||142|142|2|2|0|2|2|0|0|0|28|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_register_pressure_runtime.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_register_pressure_runtime.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_register_pressure_runtime.result.txt
src|while_backedge|10|PASS||10|10|6|16|0|0|1|0|0|0|39|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_while_backedge.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_while_backedge.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src_while_backedge.result.txt
src2|while_backedge|10|PASS||10|10|2|2|0|0|1|0|0|0|23|0|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_while_backedge.s|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_while_backedge.spike.log|/mnt/e/TOYC/tools/src_backend_regression/reports/runtime/src2_while_backedge.result.txt
